loss	val_loss
0.6541914939880371	0.050692617893218994
0.548128604888916	0.05852648988366127
0.4544011354446411	0.07165713608264923
0.3798677325248718	0.08665604889392853
0.3320496082305908	0.10076721757650375
0.2984555959701538	0.10776206105947495
0.2903987765312195	0.10857097804546356
0.2949589490890503	0.10201457142829895
0.2887556552886963	0.08931914716959
0.2763335704803467	0.0764959305524826
0.2634580135345459	0.06412278860807419
0.24416281282901764	0.05547870323061943
0.23038561642169952	0.05049688369035721
0.22224558889865875	0.04819323122501373
0.21783822774887085	0.047829240560531616
